,title,year,rating,genre,movie_length,votes
336,Laura,(1944),8.0,"Drama, Film-Noir, Mystery",88 min,"46,321"
337,Manchester by the Sea,(2016),7.8,Drama,137 min,"269,843"
338,Red River,(1948),7.8,"Drama, Western",133 min,"30,568"
339,The Last of the Mohicans,(1992),7.7,"Action, Adventure, Drama",112 min,"164,064"
340,The Boy in the Striped Pajamas,(2008),7.8,"Drama, History, War",94 min,"209,515"
341,As Good as It Gets,(1997),7.7,"Comedy, Drama, Romance",139 min,"292,547"
342,Vertigo,(1958),8.3,"Mystery, Romance, Thriller",128 min,"390,951"
343,The Bourne Ultimatum,(2007),8.0,"Action, Mystery, Thriller",115 min,"624,233"
344,Kramer vs. Kramer,(1979),7.8,Drama,105 min,"141,918"
345,How to Train Your Dragon,(2010),8.1,"Animation, Action, Adventure",98 min,"711,107"
346,Halloween,(1978),7.7,"Horror, Thriller",91 min,"263,092"
347,The Machinist,(2004),7.7,"Drama, Thriller",101 min,"378,452"
348,The Last Picture Show,(1971),8.0,"Drama, Romance",118 min,"46,922"
349,Philadelphia,(1993),7.7,Drama,125 min,"236,445"
350,12 Monkeys,(1995),8.0,"Mystery, Sci-Fi, Thriller",129 min,"604,683"
351,Misery,(1990),7.8,"Drama, Thriller",107 min,"200,937"
352,3 Idiots,(2009),8.4,"Comedy, Drama",170 min,"379,304"
353,Rear Window,(1954),8.5,"Mystery, Thriller",112 min,"476,098"
354,Blazing Saddles,(1974),7.7,"Comedy, Western",93 min,"135,068"
355,Just Mercy,(2019),7.6,"Biography, Crime, Drama",137 min,"62,635"
356,Gravity,(2013),7.7,"Action, Drama, Sci-Fi",91 min,"806,084"
357,Aladdin,(1992),8.0,"Animation, Adventure, Comedy",90 min,"395,345"
358,The King's Speech,(2010),8.0,"Biography, Drama, History",118 min,"666,495"
359,Mulan,(1998),7.7,"Animation, Adventure, Comedy",88 min,"276,278"
360,Beauty and the Beast,(1991),8.0,"Animation, Family, Fantasy",84 min,"435,505"
361,Once Upon a Time in the West,(1968),8.5,Western,165 min,"320,650"
362,The Untouchables,(1987),7.9,"Crime, Drama, Thriller",119 min,"300,524"
363,Lion,(2016),8.0,"Biography, Drama",118 min,"229,994"
364,Hachi: A Dog's Tale,(2009),8.1,"Biography, Drama, Family",93 min,"274,211"
365,The Invisible Guest,(2016),8.1,"Crime, Drama, Mystery",106 min,"167,707"
366,"O Brother, Where Art Thou?",(2000),7.7,"Adventure, Comedy, Crime",107 min,"303,426"
367,Deliverance,(1972),7.7,"Adventure, Drama, Thriller",109 min,"105,700"
368,Walk the Line,(2005),7.8,"Biography, Drama, Music",136 min,"245,456"
369,Sound of Metal,(2019),7.8,"Drama, Music",120 min,"115,710"
370,Gifted,(2017),7.6,Drama,101 min,"111,642"
371,It's a Wonderful Life,(1946),8.6,"Comedy, Drama, Family",130 min,"440,456"
372,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),8.4,"Comedy, War",95 min,"475,963"
373,Citizen Kane,(1941),8.3,"Drama, Mystery",119 min,"430,784"
374,Moon,(2009),7.8,"Drama, Mystery, Sci-Fi",97 min,"351,191"
375,District 9,(2009),7.9,"Action, Sci-Fi, Thriller",112 min,"665,700"
376,The Skin I Live In,(2011),7.6,"Drama, Horror, Thriller",120 min,"148,680"
377,Young Frankenstein,(1974),8.0,Comedy,106 min,"154,383"
378,The Graduate,(1967),8.0,"Comedy, Drama, Romance",106 min,"267,261"
379,Chinatown,(1974),8.2,"Drama, Mystery, Thriller",130 min,"316,261"
380,Seven Samurai,(1954),8.6,"Action, Drama",207 min,"336,006"
381,Life of Pi,(2012),7.9,"Adventure, Drama, Fantasy",127 min,"611,874"
382,Y tu mamá también,(2001),7.6,Drama,106 min,"120,971"
383,Slumdog Millionaire,(2008),8.0,"Drama, Romance",120 min,"828,660"
384,Sense and Sensibility,(1995),7.7,"Drama, Romance",136 min,"112,328"
385,Annie Hall,(1977),8.0,"Comedy, Romance",93 min,"261,219"
386,Mary Poppins,(1964),7.8,"Comedy, Family, Fantasy",139 min,"167,712"
387,The Theory of Everything,(2014),7.7,"Biography, Drama, Romance",123 min,"435,608"
388,Cabaret,(1972),7.8,"Drama, Music, Musical",124 min,"53,206"
389,The Count of Monte Cristo,(2002),7.8,"Action, Adventure, Drama",131 min,"135,462"
390,What's Eating Gilbert Grape,(1993),7.7,Drama,118 min,"230,126"
391,Million Dollar Baby,(2004),8.1,"Drama, Sport",132 min,"669,616"
392,Princess Mononoke,(1997),8.4,"Animation, Action, Adventure",134 min,"376,636"
393,Rosemary's Baby,(1968),8.0,"Drama, Horror",137 min,"208,566"
394,Ben-Hur,(1959),8.1,"Adventure, Drama, History",212 min,"232,999"
395,The Blues Brothers,(1980),7.9,"Action, Adventure, Comedy",133 min,"194,145"
396,Boyhood,(I) (2014),7.9,Drama,165 min,"348,731"
397,Mr. Nobody,(2009),7.8,"Drama, Fantasy, Romance",141 min,"228,343"
398,Blue Velvet,(1986),7.7,"Crime, Drama, Mystery",120 min,"193,080"
399,Doctor Zhivago,(1965),8.0,"Drama, Romance, War",197 min,"74,897"
400,Monty Python and the Holy Grail,(1975),8.2,"Adventure, Comedy, Fantasy",91 min,"527,178"
401,Back to the Future Part II,(1989),7.8,"Adventure, Comedy, Sci-Fi",108 min,"512,944"
402,In the Heat of the Night,(1967),7.9,"Drama, Mystery, Thriller",110 min,"74,074"
403,Edward Scissorhands,(1990),7.9,"Drama, Fantasy, Romance",105 min,"472,753"
404,Scent of a Woman,(1992),8.0,Drama,156 min,"285,644"
405,End of Watch,(2012),7.6,"Action, Adventure, Crime",109 min,"241,611"
406,I Saw the Devil,(2010),7.8,"Action, Crime, Drama",144 min,"124,270"
407,Toy Story 3,(2010),8.2,"Animation, Adventure, Comedy",103 min,"804,522"
408,Dirty Harry,(1971),7.7,"Action, Crime, Thriller",102 min,"152,295"
409,Match Point,(2005),7.6,"Drama, Romance, Thriller",124 min,"214,757"
410,Who Framed Roger Rabbit,(1988),7.7,"Animation, Adventure, Comedy",104 min,"194,958"
411,Gone Baby Gone,(2007),7.6,"Crime, Drama, Mystery",114 min,"267,225"
412,Apollo 13,(I) (1995),7.6,"Adventure, Drama, History",140 min,"286,939"
413,Wreck-It Ralph,(2012),7.7,"Animation, Adventure, Comedy",101 min,"406,648"
414,Gattaca,(1997),7.8,"Drama, Sci-Fi, Thriller",106 min,"295,145"
415,The Bourne Supremacy,(2004),7.7,"Action, Mystery, Thriller",108 min,"454,124"
416,Kill Bill: Vol. 2,(2004),8.0,"Action, Crime, Thriller",137 min,"729,991"
417,The Raid: Redemption,(2011),7.6,"Action, Crime, Thriller",101 min,"200,241"
418,Hunt for the Wilderpeople,(2016),7.9,"Adventure, Comedy, Drama",101 min,"125,099"
419,Isle of Dogs,(2018),7.8,"Animation, Adventure, Comedy",101 min,"160,381"
420,The Girl with the Dragon Tattoo,(2009),7.8,"Crime, Drama, Mystery",152 min,"214,753"
421,Raging Bull,(1980),8.2,"Biography, Drama, Sport",129 min,"342,680"
422,Let the Right One In,(2008),7.9,"Drama, Fantasy, Horror",114 min,"213,368"
423,The Boondock Saints,(1999),7.7,"Action, Thriller",108 min,"235,762"
424,In Bruges,(2008),7.9,"Comedy, Crime, Drama",107 min,"410,509"
425,Toy Story 2,(1999),7.9,"Animation, Adventure, Comedy",92 min,"560,430"
426,The Magnificent Seven,(1960),7.7,"Action, Adventure, Western",128 min,"93,113"
427,Coraline,(2009),7.7,"Animation, Drama, Family",100 min,"216,137"
428,JFK,(1991),8.0,"Drama, History, Thriller",189 min,"152,002"
429,Lawrence of Arabia,(1962),8.3,"Adventure, Biography, Drama",228 min,"285,383"
430,Glory,(1989),7.8,"Biography, Drama, History",122 min,"132,179"
431,The Great Beauty,(2013),7.8,Drama,141 min,"88,155"
432,The French Connection,(1971),7.7,"Action, Crime, Drama",104 min,"119,203"
433,The Thin Red Line,(1998),7.6,"Drama, History, War",170 min,"184,005"
434,The Seventh Seal,(1957),8.2,"Drama, Fantasy, History",96 min,"179,938"
435,Primal Fear,(1996),7.7,"Crime, Drama, Mystery",129 min,"206,115"
436,Before Sunset,(2004),8.1,"Drama, Romance",80 min,"254,231"
437,"Paris, Texas",(1984),8.1,Drama,145 min,"102,554"
438,A Silent Voice: The Movie,(2016),8.2,"Animation, Drama",130 min,"72,125"
439,Dog Day Afternoon,(1975),8.0,"Biography, Crime, Drama",125 min,"250,316"
440,The Color Purple,(1985),7.8,Drama,154 min,"84,472"
441,Carlito's Way,(1993),7.9,"Crime, Drama, Thriller",144 min,"212,696"
442,North by Northwest,(1959),8.3,"Adventure, Mystery, Thriller",136 min,"318,916"
443,Charade,(1963),7.9,"Comedy, Mystery, Romance",113 min,"74,980"
444,Empire of the Sun,(1987),7.7,"Drama, History, War",153 min,"122,839"
445,Who's Afraid of Virginia Woolf?,(1966),8.0,Drama,131 min,"73,808"
446,To Kill a Mockingbird,(1962),8.2,"Crime, Drama",129 min,"309,329"
447,My Neighbor Totoro,(1988),8.2,"Animation, Comedy, Family",86 min,"322,280"
448,First Blood,(1982),7.7,"Action, Adventure, Thriller",93 min,"243,700"
449,K.G.F: Chapter 1,(2018),8.3,"Action, Crime, Drama",156 min,"55,358"
450,Billy Elliot,(2000),7.7,"Drama, Music",110 min,"132,736"
451,Cinema Paradiso,(1988),8.5,"Drama, Romance",155 min,"251,813"
452,Singin' in the Rain,(1952),8.3,"Comedy, Musical, Romance",103 min,"234,437"
453,Dark City,(1998),7.6,"Fantasy, Mystery, Sci-Fi",100 min,"196,585"
454,Chungking Express,(1994),8.1,"Comedy, Crime, Drama",102 min,"75,761"
455,Metropolis,(1927),8.3,"Drama, Sci-Fi",153 min,"170,144"
456,Rushmore,(1998),7.7,"Comedy, Drama, Romance",93 min,"181,240"
457,Roma,(2018),7.7,Drama,135 min,"152,880"
458,Ordinary People,(1980),7.7,Drama,124 min,"50,792"
459,The Secret in Their Eyes,(2009),8.2,"Drama, Mystery, Romance",129 min,"204,753"
460,Barry Lyndon,(1975),8.1,"Adventure, Drama, History",185 min,"162,319"
461,Close Encounters of the Third Kind,(1977),7.6,"Drama, Sci-Fi",138 min,"196,449"
462,Before Midnight,(2013),7.9,"Drama, Romance",109 min,"152,438"
463,The Lego Movie,(2014),7.7,"Animation, Action, Adventure",100 min,"342,072"
464,Network,(1976),8.1,Drama,121 min,"155,381"
465,Dangal,(2016),8.4,"Action, Biography, Drama",161 min,"178,659"
466,The Searchers,(1956),7.9,"Adventure, Drama, Western",119 min,"87,040"
467,The Others,(2001),7.6,"Horror, Mystery, Thriller",104 min,"356,560"
468,The Holy Mountain,(1973),7.9,"Adventure, Drama, Fantasy",114 min,"41,507"
469,Das Boot,(1981),8.3,"Drama, War",149 min,"245,185"
470,Lethal Weapon,(1987),7.6,"Action, Crime, Thriller",109 min,"251,793"
471,Fried Green Tomatoes,(1991),7.7,Drama,130 min,"72,756"
472,Akira,(1988),8.0,"Animation, Action, Drama",124 min,"178,959"
473,The Birds,(1963),7.7,"Drama, Horror, Mystery",119 min,"183,575"
474,This Is Spinal Tap,(1984),7.9,"Comedy, Music",82 min,"137,075"
475,The Ten Commandments,(1956),7.9,"Adventure, Drama, Family",220 min,"68,465"
476,Naked,(1993),7.8,"Comedy, Drama",131 min,"38,262"
477,Perfect Blue,(1997),8.0,"Animation, Crime, Drama",81 min,"69,892"
478,Captain Phillips,(2013),7.8,"Action, Biography, Crime",134 min,"446,718"
479,A Fistful of Dollars,(1964),8.0,"Action, Drama, Western",99 min,"211,262"
480,Stalker,(1979),8.1,"Drama, Sci-Fi",162 min,"130,080"
481,La Haine,(1995),8.1,"Crime, Drama",98 min,"165,695"
482,Do the Right Thing,(1989),8.0,"Comedy, Drama",120 min,"99,144"
483,Changeling,(2008),7.7,"Biography, Crime, Drama",141 min,"250,856"
484,This Is England,(2006),7.7,"Crime, Drama",101 min,"120,524"
485,Sunset Blvd.,(1950),8.4,"Drama, Film-Noir",110 min,"215,575"
486,Dogville,(2003),8.0,"Crime, Drama",178 min,"145,807"
487,Harold and Maude,(1971),7.9,"Comedy, Drama, Romance",91 min,"76,048"
488,Hamlet,(1996),7.7,Drama,242 min,"37,646"
489,Being John Malkovich,(1999),7.7,"Comedy, Drama, Fantasy",113 min,"327,871"
490,Miracle in Cell No. 7,(2019),8.2,Drama,132 min,"45,926"
491,A Separation,(2011),8.3,Drama,123 min,"238,988"
492,Spartacus,(1960),7.9,"Adventure, Biography, Drama",197 min,"132,113"
493,The Elephant Man,(1980),8.1,"Biography, Drama",124 min,"234,908"
494,The Apartment,(1960),8.3,"Comedy, Drama, Romance",125 min,"176,290"
495,Serpico,(1973),7.7,"Biography, Crime, Drama",130 min,"119,442"
496,Goldfinger,(1964),7.7,"Action, Adventure, Thriller",110 min,"185,458"
497,My Fair Lady,(1964),7.8,"Drama, Family, Musical",170 min,"93,386"
498,The Sting,(1973),8.3,"Comedy, Crime, Drama",129 min,"255,160"
499,Once Were Warriors,(1994),7.9,"Crime, Drama",102 min,"33,615"
500,Brazil,(1985),7.9,"Drama, Sci-Fi",132 min,"197,495"
501,Wild Tales,(2014),8.1,"Comedy, Drama, Thriller",122 min,"191,451"
502,Miller's Crossing,(1990),7.7,"Crime, Drama, Thriller",115 min,"132,957"
503,The Jungle Book,(1967),7.6,"Animation, Adventure, Comedy",78 min,"176,842"
504,Detachment,(2011),7.7,Drama,98 min,"82,882"
505,The Longest Day,(1962),7.8,"Action, Drama, History",178 min,"54,768"
506,Life of Brian,(1979),8.1,Comedy,94 min,"389,328"
507,Interstate 60: Episodes of the Road,(2002),7.7,"Adventure, Comedy, Drama",116 min,"31,954"
508,Awakenings,(1990),7.8,"Biography, Drama",121 min,"136,382"
509,Glengarry Glen Ross,(1992),7.7,"Crime, Drama, Mystery",100 min,"102,792"
510,The Maltese Falcon,(1941),8.0,"Crime, Film-Noir, Mystery",100 min,"155,747"
511,Seven Pounds,(2008),7.6,Drama,123 min,"298,046"
512,High Noon,(1952),8.0,"Drama, Thriller, Western",85 min,"102,413"
513,In the Name of the Father,(1993),8.1,"Biography, Crime, Drama",133 min,"169,713"
514,Cool Hand Luke,(1967),8.1,"Crime, Drama",127 min,"173,143"
515,Lost Highway,(1997),7.6,"Mystery, Thriller",134 min,"138,899"
516,The Wrestler,(2008),7.9,"Drama, Sport",109 min,"300,466"
517,The Road Warrior,(1981),7.6,"Action, Adventure, Sci-Fi",96 min,"176,068"
518,Hara-Kiri,(1962),8.6,"Action, Drama, Mystery",133 min,"52,532"
519,The Name of the Rose,(1986),7.7,"Drama, History, Mystery",130 min,"106,848"
520,Malcolm X,(1992),7.7,"Biography, Drama, History",202 min,"92,429"
521,Battle Royale,(2000),7.6,"Action, Adventure, Drama",114 min,"179,427"
522,Mississippi Burning,(1988),7.8,"Crime, Drama, History",128 min,"97,596"
523,Talk to Her,(2002),7.9,"Drama, Mystery, Romance",112 min,"110,445"
524,A Christmas Story,(1983),7.9,"Comedy, Family",93 min,"145,741"
525,Butch Cassidy and the Sundance Kid,(1969),8.0,"Biography, Crime, Drama",110 min,"211,918"
526,Paddington 2,(2017),7.8,"Adventure, Comedy, Family",103 min,"71,722"
527,Evil Dead II,(1987),7.7,"Comedy, Horror",84 min,"158,294"
528,M,(1931),8.3,"Crime, Mystery, Thriller",99 min,"153,878"
529,Fanny and Alexander,(1982),8.1,Drama,188 min,"62,731"
530,"Crouching Tiger, Hidden Dragon",(2000),7.8,"Action, Adventure, Drama",120 min,"264,133"
531,Fallen Angels,(1995),7.7,"Comedy, Crime, Drama",99 min,"35,747"
532,Only the Brave,(2017),7.6,"Action, Biography, Drama",134 min,"65,633"
533,Kiki's Delivery Service,(1989),7.9,"Animation, Family, Fantasy",103 min,"137,837"
534,Searching,(III) (2018),7.6,"Drama, Mystery, Thriller",102 min,"157,313"
535,The Best Offer,(2013),7.8,"Crime, Drama, Mystery",131 min,"115,963"
536,Rio Bravo,(1959),8.0,Western,141 min,"60,819"
537,Adaptation.,(2002),7.7,"Comedy, Drama",115 min,"188,685"
538,The Nightmare Before Christmas,(1993),8.0,"Animation, Family, Fantasy",76 min,"324,218"
539,Eastern Promises,(2007),7.6,"Crime, Drama, Thriller",100 min,"238,324"
540,Papillon,(1973),8.0,"Biography, Crime, Drama",151 min,"128,170"
541,Rebecca,(1940),8.1,"Drama, Film-Noir, Mystery",130 min,"133,832"
542,Enter the Dragon,(1973),7.7,"Action, Crime, Drama",102 min,"102,524"
543,Togo,(2019),8.0,"Adventure, Biography, Drama",113 min,"45,916"
544,Double Indemnity,(1944),8.3,"Crime, Drama, Film-Noir",107 min,"152,989"
545,Guess Who's Coming to Dinner,(1967),7.8,"Comedy, Drama",108 min,"44,295"
546,Nosferatu,(1922),7.9,"Fantasy, Horror",94 min,"94,215"
547,Ip Man,(2008),8.0,"Action, Biography, Drama",106 min,"220,102"
548,Brief Encounter,(1945),8.0,"Drama, Romance",86 min,"39,072"
549,Perfect Strangers,(2016),7.8,"Comedy, Drama",96 min,"63,213"
550,The Man from Earth,(2007),7.9,"Drama, Fantasy, Mystery",87 min,"183,634"
551,Freaks,(1932),7.9,"Drama, Horror",64 min,"45,265"
552,Gandhi,(1982),8.0,"Biography, Drama",191 min,"225,831"
553,Sing Street,(2016),7.9,"Comedy, Drama, Music",106 min,"91,305"
554,Witness for the Prosecution,(1957),8.4,"Crime, Drama, Mystery",116 min,"120,512"
555,How to Train Your Dragon 2,(2014),7.8,"Animation, Action, Adventure",102 min,"324,010"
556,"Blood In, Blood Out",(1993),8.0,"Crime, Drama",180 min,"30,707"
557,For a Few Dollars More,(1965),8.2,Western,132 min,"249,099"
558,8½,(1963),8.0,Drama,138 min,"115,606"
559,Once,(I) (2007),7.8,"Drama, Music, Romance",86 min,"115,104"
560,The Raid 2,(2014),8.0,"Action, Crime, Thriller",150 min,"120,711"
561,The Fall,(2006),7.8,"Adventure, Drama, Fantasy",117 min,"110,921"
562,Roman Holiday,(1953),8.0,"Comedy, Romance",118 min,"135,616"
563,The Bridges of Madison County,(1995),7.6,"Drama, Romance",135 min,"79,140"
564,From Here to Eternity,(1953),7.6,"Drama, Romance, War",118 min,"46,091"
565,Bonnie and Clyde,(1967),7.8,"Action, Biography, Crime",111 min,"110,130"
566,Lucky Number Slevin,(2006),7.7,"Crime, Drama, Thriller",110 min,"308,964"
567,The Dirty Dozen,(1967),7.7,"Action, Adventure, War",150 min,"71,336"
568,The Iron Giant,(1999),8.0,"Animation, Action, Adventure",86 min,"185,365"
569,Sabrina,(1954),7.6,"Comedy, Drama, Romance",113 min,"63,468"
570,Klaus,(2019),8.2,"Animation, Adventure, Comedy",96 min,"138,715"
571,Rebel Without a Cause,(1955),7.7,Drama,111 min,"88,598"
572,All That Jazz,(1979),7.9,"Drama, Music, Musical",123 min,"30,783"
573,All the President's Men,(1976),8.0,"Drama, History, Thriller",138 min,"112,122"
574,A Streetcar Named Desire,(1951),8.0,Drama,122 min,"105,843"
575,Kung Fu Hustle,(2004),7.8,"Action, Comedy, Fantasy",99 min,"135,566"
576,Ran,(1985),8.2,"Action, Drama, War",162 min,"122,103"
577,Ghost in the Shell,(1995),8.0,"Animation, Action, Crime",83 min,"138,873"
578,Hotel Rwanda,(2004),8.1,"Biography, Drama, History",121 min,"348,724"
579,Nausicaä of the Valley of the Wind,(1984),8.1,"Animation, Adventure, Sci-Fi",117 min,"164,734"
580,Sling Blade,(1996),8.0,Drama,135 min,"92,451"
581,Solaris,(1972),8.0,"Drama, Mystery, Sci-Fi",167 min,"88,758"
582,Amores perros,(2000),8.1,"Drama, Thriller",154 min,"235,701"
583,The Insider,(1999),7.8,"Biography, Drama, Thriller",157 min,"168,222"
584,Belle de Jour,(1967),7.7,"Drama, Romance",100 min,"43,351"
585,A Very Long Engagement,(2004),7.6,"Drama, Mystery, Romance",133 min,"73,195"
586,Flipped,(I) (2010),7.7,"Comedy, Drama, Romance",90 min,"88,152"
587,The Artist,(I) (2011),7.9,"Comedy, Drama, Romance",100 min,"238,441"
588,The Outlaw Josey Wales,(1976),7.8,Western,135 min,"71,660"
589,After Hours,(I) (1985),7.7,"Comedy, Crime, Drama",97 min,"66,885"
590,Like Stars on Earth,(2007),8.4,"Drama, Family",165 min,"185,943"
591,Persona,(1966),8.1,"Drama, Thriller",83 min,"114,108"
592,Mommy,(I) (2014),8.1,Drama,139 min,"55,354"
593,Ponyo,(2008),7.7,"Animation, Adventure, Comedy",101 min,"137,537"
594,My Left Foot,(1989),7.9,"Biography, Drama",103 min,"72,719"
595,La Dolce Vita,(1960),8.0,"Comedy, Drama",174 min,"71,429"
596,The King of Comedy,(1982),7.8,"Comedy, Crime, Drama",109 min,"99,304"
597,A Man Called Ove,(2015),7.7,"Comedy, Drama, Romance",116 min,"52,816"
598,Giant,(1956),7.6,"Drama, Western",201 min,"37,801"
599,Cinderella Man,(2005),8.0,"Biography, Drama, History",144 min,"184,127"
600,Modern Times,(1936),8.5,"Comedy, Drama, Romance",87 min,"234,736"
601,Neon Genesis Evangelion: The End of Evangelion,(1997),8.1,"Animation, Action, Drama",87 min,"50,856"
602,Pink Floyd: The Wall,(1982),8.0,"Drama, Fantasy, Music",95 min,"79,661"
603,21 Grams,(2003),7.6,"Crime, Drama, Thriller",124 min,"233,351"
604,The Remains of the Day,(1993),7.8,"Drama, Romance",134 min,"72,084"
605,Paths of Glory,(1957),8.4,"Drama, War",88 min,"191,346"
606,The Wild Bunch,(1969),7.9,"Action, Adventure, Western",135 min,"82,890"
607,Sardar Udham,(2021),8.7,"Biography, Crime, Drama",164 min,"36,471"
608,Stagecoach,(1939),7.9,"Adventure, Drama, Western",96 min,"47,587"
609,Ray,(I) (2004),7.7,"Biography, Drama, Music",152 min,"145,178"
610,Paper Moon,(1973),8.1,"Comedy, Crime, Drama",102 min,"46,224"
611,25th Hour,(2002),7.6,Drama,135 min,"176,577"
612,Gaslight,(1944),7.8,"Crime, Drama, Mystery",114 min,"27,645"
613,Black Book,(2006),7.7,"Drama, Thriller, War",145 min,"75,884"
614,Happiness,(1998),7.7,"Comedy, Drama",134 min,"69,292"
615,Run Lola Run,(1998),7.7,"Crime, Drama, Thriller",80 min,"196,005"
616,On the Waterfront,(1954),8.1,"Crime, Drama, Thriller",108 min,"151,314"
617,Dial M for Murder,(1954),8.2,"Crime, Thriller",105 min,"170,699"
618,Baahubali: The Beginning,(2015),8.0,"Action, Drama",159 min,"112,006"
619,The Man Who Would Be King,(1975),7.8,"Adventure, History, War",129 min,"48,046"
620,The Great Dictator,(1940),8.4,"Comedy, Drama, War",125 min,"218,031"
621,God's Own Country,(2017),7.7,"Drama, Romance",104 min,"29,336"
622,The Last King of Scotland,(2006),7.7,"Biography, Drama, History",123 min,"183,387"
623,Wolfwalkers,(2020),8.0,"Animation, Adventure, Family",103 min,"29,082"
624,The Third Man,(1949),8.1,"Film-Noir, Mystery, Thriller",93 min,"168,232"
625,All About Eve,(1950),8.2,Drama,138 min,"128,400"
626,Dawn of the Dead,(1978),7.9,"Horror, Thriller",127 min,"117,960"
627,Star Trek II: The Wrath of Khan,(1982),7.7,"Action, Adventure, Sci-Fi",113 min,"118,625"
628,It Happened One Night,(1934),8.1,"Comedy, Romance",105 min,"101,191"
629,Rashomon,(1950),8.2,"Crime, Drama, Mystery",88 min,"163,845"
630,Fiddler on the Roof,(1971),8.0,"Drama, Family, Musical",181 min,"42,619"
631,50/50,(2011),7.6,"Comedy, Drama, Romance",100 min,"325,779"
632,Gangs of Wasseypur,(2012),8.2,"Action, Comedy, Crime",321 min,"92,741"
633,The Last Emperor,(1987),7.7,"Biography, Drama, History",163 min,"100,570"
634,The Wind Rises,(2013),7.8,"Animation, Biography, Drama",126 min,"81,812"
635,I Am Sam,(2001),7.6,Drama,132 min,"148,456"
636,Clerks,(1994),7.7,Comedy,92 min,"218,805"
637,Ed Wood,(1994),7.8,"Biography, Comedy, Drama",127 min,"172,866"
638,King Kong,(1933),7.9,"Adventure, Horror, Sci-Fi",100 min,"83,873"
639,Hero,(2002),7.9,"Action, Adventure, Drama",120 min,"179,332"
640,Night of the Living Dead,(1968),7.9,"Horror, Thriller",96 min,"124,830"
641,Dancer in the Dark,(2000),8.0,"Crime, Drama, Musical",140 min,"107,783"
642,Barton Fink,(1991),7.7,"Comedy, Drama, Thriller",116 min,"119,059"
643,Castle in the Sky,(1986),8.0,"Animation, Adventure, Family",125 min,"161,273"
644,Tumbbad,(2018),8.3,"Drama, Fantasy, Horror",104 min,"40,055"
645,Shoplifters,(2018),7.9,"Crime, Drama",121 min,"72,518"
646,Andhadhun,(2018),8.2,"Comedy, Crime, Music",139 min,"87,689"
647,The Celebration,(1998),8.1,Drama,105 min,"85,059"
648,All About My Mother,(1999),7.9,Drama,101 min,"94,698"
649,"South Park: Bigger, Longer & Uncut",(1999),7.7,"Animation, Comedy, Fantasy",81 min,"201,137"
650,Finding Neverland,(2004),7.6,"Biography, Drama, Family",106 min,"203,958"
651,Short Term 12,(2013),8.0,Drama,96 min,"86,393"
652,East of Eden,(1955),7.9,Drama,118 min,"44,534"
653,The Killing,(1956),8.0,"Crime, Drama, Film-Noir",84 min,"87,666"
654,Nebraska,(2013),7.7,"Adventure, Comedy, Drama",115 min,"116,639"
655,Days of Heaven,(1978),7.8,"Drama, Romance",94 min,"56,847"
656,Hedwig and the Angry Inch,(2001),7.7,"Comedy, Drama, Music",95 min,"35,059"
657,Open Your Eyes,(1997),7.7,"Drama, Mystery, Sci-Fi",119 min,"68,296"
658,The Man Who Shot Liberty Valance,(1962),8.1,"Drama, Western",123 min,"74,203"
659,Mother,(2009),7.8,"Crime, Drama, Mystery",129 min,"61,004"
660,The Verdict,(1982),7.7,Drama,129 min,"39,311"
661,Being There,(1979),8.0,"Comedy, Drama",130 min,"71,097"
662,Kelly's Heroes,(1970),7.6,"Adventure, Comedy, War",144 min,"48,438"
663,Mysterious Skin,(2004),7.6,Drama,105 min,"68,427"
664,October Sky,(1999),7.8,"Biography, Drama, Family",108 min,"88,632"
665,The Philadelphia Story,(1940),7.9,"Comedy, Romance",112 min,"67,755"
666,PK,(2014),8.1,"Comedy, Drama, Sci-Fi",153 min,"176,434"
667,Letters from Iwo Jima,(2006),7.9,"Action, Adventure, Drama",141 min,"160,284"
668,Where Eagles Dare,(1968),7.6,"Action, Adventure, War",158 min,"56,962"
669,The Right Stuff,(1983),7.8,"Adventure, Biography, Drama",193 min,"60,330"
670,The Body,(2012),7.6,"Mystery, Thriller",112 min,"63,704"
671,Wings of Desire,(1987),8.0,"Drama, Fantasy, Romance",128 min,"69,378"
672,Amour,(2012),7.9,Drama,127 min,"98,250"
673,What Ever Happened to Baby Jane?,(1962),8.1,"Drama, Horror, Thriller",134 min,"54,323"
674,Badlands,(1973),7.8,"Action, Crime, Drama",94 min,"71,319"
675,Z,(1969),8.2,"Crime, Drama, History",127 min,"27,676"
676,"Spring, Summer, Fall, Winter... and Spring",(2003),8.0,"Drama, Romance",103 min,"81,641"
677,Happy Together,(1997),7.7,"Drama, Romance",96 min,"27,407"
678,Beasts of No Nation,(2015),7.7,"Drama, War",137 min,"79,475"
679,Soorarai Pottru,(2020),9.1,Drama,153 min,"107,640"
680,The Night of the Hunter,(1955),8.0,"Crime, Drama, Film-Noir",92 min,"87,377"
681,Badhaai Ho,(2018),8.0,"Comedy, Drama",124 min,"32,635"
682,Victoria,(II) (2015),7.6,"Crime, Drama, Romance",138 min,"57,398"
683,Me and Earl and the Dying Girl,(2015),7.7,"Comedy, Drama",105 min,"129,194"
684,Bicycle Thieves,(1948),8.3,Drama,89 min,"159,237"
685,Ayla: The Daughter of War,(2017),8.4,"Biography, Drama, History",125 min,"38,297"
686,Breathless,(1960),7.8,"Crime, Drama",90 min,"79,056"
