,title,year,rating,genre,movie_length,votes
77,Mad Max: Fury Road,(2015),8.1,"Action, Adventure, Sci-Fi",120 min,"955,565"
78,The Green Mile,(1999),8.6,"Crime, Drama, Fantasy",189 min,"1,240,177"
79,Léon: The Professional,(1994),8.5,"Action, Crime, Drama",110 min,"1,113,407"
80,Deadpool 2,(2018),7.7,"Action, Adventure, Comedy",119 min,"542,539"
81,Back to the Future,(1985),8.5,"Adventure, Comedy, Sci-Fi",116 min,"1,145,648"
82,American Beauty,(1999),8.3,Drama,122 min,"1,123,477"
83,No Country for Old Men,(2007),8.1,"Crime, Drama, Thriller",122 min,"929,096"
84,Jojo Rabbit,(2019),7.9,"Comedy, Drama, War",108 min,"359,489"
85,There Will Be Blood,(2007),8.2,Drama,158 min,"561,842"
86,Bohemian Rhapsody,(2018),7.9,"Biography, Drama, Music",134 min,"507,839"
87,Harry Potter and the Goblet of Fire,(2005),7.7,"Adventure, Family, Fantasy",157 min,"599,573"
88,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0,"Action, Adventure, Fantasy",143 min,"1,064,031"
89,Thor: Ragnarok,(2017),7.9,"Action, Adventure, Comedy",130 min,"682,014"
90,12 Angry Men,(1957),9.0,"Crime, Drama",96 min,"753,472"
91,Eternal Sunshine of the Spotless Mind,(2004),8.3,"Drama, Romance, Sci-Fi",108 min,"969,759"
92,Moana,(I) (2016),7.6,"Animation, Adventure, Comedy",107 min,"313,432"
93,Donnie Darko,(2001),8.0,"Drama, Mystery, Sci-Fi",113 min,"776,993"
94,Good Will Hunting,(1997),8.3,"Drama, Romance",126 min,"926,140"
95,The Goonies,(1985),7.8,"Adventure, Comedy, Family",114 min,"262,355"
96,Apocalypse Now,(1979),8.4,"Drama, Mystery, War",147 min,"644,354"
97,Braveheart,(1995),8.3,"Biography, Drama, History",178 min,"1,008,138"
98,Blade Runner,(1982),8.1,"Action, Drama, Sci-Fi",117 min,"741,169"
99,The Lord of the Rings: The Two Towers,(2002),8.7,"Action, Adventure, Drama",179 min,"1,587,710"
100,Hamilton,(2020),8.4,"Biography, Drama, History",160 min,"83,333"
101,Harry Potter and the Prisoner of Azkaban,(2004),7.9,"Adventure, Family, Fantasy",142 min,"606,122"
102,The Girl with the Dragon Tattoo,(2011),7.8,"Crime, Drama, Mystery",158 min,"451,399"
103,Star Wars: Episode VII - The Force Awakens,(2015),7.8,"Action, Adventure, Sci-Fi",138 min,"901,533"
104,Alien,(1979),8.4,"Horror, Sci-Fi",117 min,"844,171"
105,Come and See,(1985),8.3,"Drama, Thriller, War",142 min,"72,504"
106,Straight Outta Compton,(2015),7.8,"Biography, Drama, History",147 min,"194,518"
107,The Social Network,(2010),7.7,"Biography, Drama",120 min,"675,180"
108,Green Book,(2018),8.2,"Biography, Comedy, Drama",130 min,"452,292"
109,The Avengers,(2012),8.0,"Action, Adventure, Sci-Fi",143 min,"1,340,406"
110,Scarface,(1983),8.3,"Crime, Drama",170 min,"800,609"
111,Logan,(2017),8.1,"Action, Drama, Sci-Fi",137 min,"715,211"
112,Iron Man,(2008),7.9,"Action, Adventure, Sci-Fi",126 min,"1,014,441"
113,The Hunt,(2012),8.3,Drama,115 min,"314,935"
114,The Fifth Element,(1997),7.7,"Action, Adventure, Sci-Fi",126 min,"459,105"
115,The Usual Suspects,(1995),8.5,"Crime, Drama, Mystery",106 min,"1,051,256"
116,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1,"Adventure, Fantasy, Mystery",130 min,"833,478"
117,Hell or High Water,(II) (2016),7.6,"Action, Crime, Drama",102 min,"222,192"
118,Train to Busan,(2016),7.6,"Action, Horror, Thriller",118 min,"204,228"
119,The Revenant,(2015),8.0,"Action, Adventure, Drama",156 min,"768,004"
120,Rogue One: A Star Wars Story,(2016),7.8,"Action, Adventure, Sci-Fi",133 min,"597,560"
121,Terminator 2: Judgment Day,(1991),8.5,"Action, Sci-Fi",137 min,"1,057,438"
122,The Martian,(2015),8.0,"Adventure, Drama, Sci-Fi",144 min,"818,506"
123,The Irishman,(2019),7.8,"Biography, Crime, Drama",209 min,"365,703"
124,Star Wars: Episode VI - Return of the Jedi,(1983),8.3,"Action, Adventure, Fantasy",131 min,"1,010,221"
125,The Big Lebowski,(1998),8.1,"Comedy, Crime",117 min,"783,200"
126,Black Hawk Down,(2001),7.7,"Action, Drama, History",144 min,"385,470"
127,Dunkirk,(2017),7.8,"Action, Drama, History",106 min,"620,038"
128,The Godfather: Part II,(1974),9.0,"Crime, Drama",202 min,"1,216,071"
129,Harry Potter and the Deathly Hallows: Part 1,(2010),7.7,"Adventure, Family, Fantasy",146 min,"523,746"
130,About Time,(I) (2013),7.8,"Comedy, Drama, Fantasy",123 min,"332,576"
131,La La Land,(2016),8.0,"Comedy, Drama, Music",128 min,"557,194"
132,The Sixth Sense,(1999),8.1,"Drama, Mystery, Thriller",107 min,"960,123"
133,Aliens,(1986),8.3,"Action, Adventure, Sci-Fi",137 min,"693,267"
134,Guardians of the Galaxy Vol. 2,(2017),7.6,"Action, Adventure, Comedy",136 min,"638,222"
135,Despicable Me,(2010),7.6,"Animation, Adventure, Comedy",95 min,"528,122"
136,The Perks of Being a Wallflower,(2012),7.9,"Drama, Romance",103 min,"493,020"
137,One Flew Over the Cuckoo's Nest,(1975),8.7,Drama,133 min,"974,178"
138,Casablanca,(1942),8.5,"Drama, Romance, War",102 min,"554,536"
139,Black Swan,(2010),8.0,"Drama, Thriller",108 min,"739,157"
140,The Imitation Game,(2014),8.0,"Biography, Drama, Thriller",114 min,"738,887"
141,"The Good, the Bad and the Ugly",(1966),8.8,"Adventure, Western",178 min,"735,337"
142,Oldboy,(2003),8.4,"Action, Drama, Mystery",120 min,"555,660"
143,Brokeback Mountain,(2005),7.7,"Drama, Romance",134 min,"346,459"
144,Boogie Nights,(1997),7.9,Drama,155 min,"256,682"
